           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   5.202483E+01  -8.388620E+00   6.940000E+01   9.872000E+00   3.800000E-01  -3.000000E+01   1.500000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.208195E+01  -3.106818E+01   8.600000E+01   7.765000E+00   6.200000E-01  -1.750000E+01   1.390000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.211551E+01   4.015454E+01   2.240000E+01   1.092000E+01   3.900000E-01   7.750000E+01   5.700000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.278383E+01  -3.362864E+01   1.001000E+02   7.767000E+00   5.000000E-01   3.750000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.301260E+01  -2.081916E+01   8.010000E+01   8.475000E+00   4.700000E-01  -3.950000E+01   1.780000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.301423E+01   6.836839E+01   8.370000E+01   9.076000E+00   5.400000E-01  -3.000000E+01   2.610000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.340191E+01  -3.614066E+01   1.354000E+02   6.934000E+00   7.500000E-01   4.950000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.375563E+01  -2.493311E+01   8.850000E+01   8.078000E+00   7.200000E-01  -5.500000E+01   1.710000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.411496E+01  -3.497630E+01   1.071000E+02   7.216000E+00   4.400000E-01   7.000000E+00   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.416282E+01  -2.090226E+01   3.500000E+01   1.015200E+01   5.600000E-01  -8.650000E+01   2.335000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
