---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
2053,1096,"61-18 18","N  148",340.59,-84.03,-2,1544,1530,31.19,0.00,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.03,-2.99,341.12,-82.50,-1.81,1579,1563,1570,1312,31.58,0.24,3,31.58,0.24,3.3,0,0.00,0.00,0,0.00,0.00
2071,1096,"61-18 18",0032-30,353.99,-85.30,6,1547,1539,31.19,0.00,0.018,0.02,0.58,1,0.001,0.001,0.001,13.19,1,0.001,0.001,1545,154,1,3,31.80,0.00,1.0,0.001,14.25,-3.48,341.12,-82.50,-1.81,1579,1563,1570,1312,31.58,0.24,3,31.58,0.24,3.3,0,0.00,0.00,0,0.00,0.00
2081,1105,"61  0 21","N  157",110.26,-70.85,4,1659,1723,31.46,0.00,0.044,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.75,-2.06,110.26,-70.85,-2.06,1659,1723,1767,1326,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2121,222,"14-12 12",AndIII,119.38,-26.26,-5,-351,-177,24.76,24.37,0.056,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.76,-3.71,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2142,1100,"61-20 18",0033-25,58.78,-86.10,9,1557,1564,31.33,0.00,0.016,0.05,0.52,1,0.001,0.001,0.001,12.01,1,0.001,0.001,1566,139,1,2,30.09,0.00,1.0,0.001,12.50,-2.78,31.19,-86.13,-2.18,1583,1585,1601,1298,30.86,0.30,2,30.86,0.30,2.1,0,0.00,0.00,0,0.00,0.00
2216,1198,"64  0  0",0034+28,119.16,-33.93,11,1986,2147,32.12,0.00,0.053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.69,-3.55,119.16,-33.93,-3.55,1986,2147,2231,1665,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2329,222,"14-12 12","N  185",120.79,-14.48,-5,-211,-24,24.76,23.95,0.182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.36,-1.55,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2349,1102,"61-22 21","N  178",109.83,-76.73,9,1479,1522,31.33,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.77,-2.88,111.94,-76.53,-2.20,1616,1659,1695,1297,31.40,0.41,1,31.40,0.41,1.0,0,0.00,0.00,0,0.00,0.00
2429,222,"14-12 12","N  205",120.71,-21.13,-5,-242,-63,24.76,24.58,0.083,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8.63,-1.26,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2436,124,"12 11 11",UGC00392,122.59,20.36,3,1409,1590,30.71,0.001,0.180,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.15,13.11,-3.05,124.21,22.53,-2.92,1207,1382,1459,1139,32.15,0.41,0,0.00,0.00,0.0,1,32.15,0.41,0,0.00,0.00
2437,1102,"61-22 21","N  210",111.62,-76.51,3,1635,1678,31.33,0.00,0.022,0.001,0.64,1,0.001,0.001,0.001,9.99,1,0.001,0.001,1678,303,1,3,31.40,0.00,1.0,0.001,11.48,-2.37,111.94,-76.53,-2.20,1616,1659,1695,1297,31.40,0.41,1,31.40,0.41,1.0,0,0.00,0.00,0,0.00,0.00
2445,1032,"55  0  0",0038-63,304.94,-53.65,7,1721,1606,31.46,0.00,0.021,0.00,0.42,1,0.001,0.001,0.001,12.68,1,0.001,0.001,1607,190,3,3,31.63,0.00,1.0,0.001,13.48,-3.15,304.94,-53.65,-3.15,1721,1606,1565,1609,31.63,0.41,1,31.63,0.41,1.0,0,0.00,0.00,0,0.00,0.00
2478,1111,"61  0  0","N  216",101.98,-83.50,-2,1564,1583,31.33,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30.30,13.74,-3.27,105.82,-82.05,-2.94,1559,1583,1610,1254,31.13,0.29,1,31.96,0.41,1.0,1,30.30,0.41,0,0.00,0.00
2526,1111,"61  0  0",0039-18,109.17,-80.79,6,1555,1583,31.33,0.00,0.021,0.06,0.17,2,0.001,0.001,0.001,13.06,2,0.001,0.001,1581,211,3,3,31.96,0.00,1.0,0.001,13.59,-3.21,105.82,-82.05,-2.94,1559,1583,1610,1254,31.13,0.29,1,31.96,0.41,1.0,1,30.30,0.41,0,0.00,0.00
2555,222,"14-12 12","N  221",121.16,-21.97,-6,-203,-26,24.76,24.55,0.153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8.89,-1.36,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2557,222,"14-12 12","N  224",121.18,-21.57,3,-298,-120,24.76,24.48,0.106,0.33,0.28,1,4.38,2.97,1,2.25,1,0.93,1,-123,542,1,1,24.49,0.21,3.0,0.001,3.56,0.77,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2578,355,"19 -8  7",0040-22,101.53,-84.76,10,361,375,27.70,28.42,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.96,-3.40,50.80,-80.56,-1.99,508,532,554,202,28.61,0.16,1,29.79,0.36,1.3,0,0.00,0.00,1,28.42,0.17
2666,222,"14-12 12","And  I",121.68,-24.82,-5,-368,-196,24.76,24.36,0.053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.37,-3.16,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
2675,357,"19  0  0","N  244",116.19,-78.39,-2,941,975,30.31,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.68,-3.28,116.19,-78.39,-3.28,941,975,1008,628,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2689,1101,"61-21 21",0043-11,118.11,-74.35,9,1617,1664,31.33,0.00,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.22,-3.46,119.56,-73.90,-2.48,1535,1583,1623,1214,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2699,1294,"60  0  0","U  477",121.25,-43.36,8,2657,2793,32.70,0.00,0.037,0.001,0.18,1,0.001,0.001,0.001,13.20,1,0.001,0.001,2785,260,3,2,32.79,0.00,1.0,32.20,13.60,-2.98,121.25,-43.36,-2.98,2657,2793,2869,2325,32.50,0.29,1,32.79,0.41,1.0,1,32.20,0.41,0,0.00,0.00
2710,1102,"61-22 21","I  51",117.77,-76.26,-2,1758,1799,31.33,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.44,-3.15,111.94,-76.53,-2.20,1616,1659,1695,1297,31.40,0.41,1,31.40,0.41,1.0,0,0.00,0.00,0,0.00,0.00
2758,233,"14-13 13","N  247",113.87,-83.54,7,159,176,27.70,27.87,0.018,0.07,0.33,1,9.72,8.73,1,8.28,1,7.69,1,176,220,1,1,27.62,0.04,3.0,0.001,8.66,-1.28,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
2778,1098,"61-19 18","N  254",314.15,-85.61,-1,1441,1422,31.19,0.00,0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.65,-2.84,297.94,-85.77,-2.22,1584,1562,1570,1323,31.66,0.41,1,31.66,0.41,1.0,0,0.00,0.00,0,0.00,0.00
2789,233,"14-13 13","N  253",97.43,-87.96,5,249,250,27.70,27.97,0.019,0.05,0.25,1,7.74,6.41,1,5.77,1,4.74,1,249,440,1,1,27.42,0.15,3.0,0.001,7.34,-0.75,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
2802,1101,"61-21 21","N  255",119.66,-74.32,4,1604,1651,31.33,0.00,0.026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.25,-2.68,119.56,-73.90,-2.48,1535,1583,1623,1214,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2805,1101,"61-21 21",0045-10,119.86,-72.76,7,1346,1398,31.33,0.00,0.034,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.16,-3.04,119.56,-73.90,-2.48,1535,1583,1623,1214,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2834,909,"52  0 12","U  494",121.47,-58.77,5,1961,2055,32.38,0.00,0.021,0.07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.78,-3.53,121.47,-58.77,-3.53,1961,2055,2115,1623,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2881,233,"14-13 13",E540-30,119.79,-80.94,-1,224,248,27.70,27.58,0.023,0.001,0.00,0.001,0.001,0.00,0.001,0.00,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0.001,16.32,0.00,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
2902,233,"14-13 13",0047-21,119.55,-83.85,10,303,317,27.70,27.61,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.60,-3.25,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
2919,1033,"55  0  0",0048-66,303.14,-50.58,7,1673,1547,31.33,0.00,0.016,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.50,303.14,-50.58,-3.50,1673,1547,1501,1581,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
2933,233,"14-13 13",E540-32,121.01,-82.77,10,228,246,27.70,27.70,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.20,-4.29,92.44,-86.05,-0.59,224,233,254,-67,27.87,0.12,3,27.70,0.22,3.9,0,0.00,0.00,8,27.89,0.12
2980,1103,"61-23 21","N  274",122.65,-69.93,-3,1733,1792,31.59,31.45,0.056,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.70,-2.82,126.37,-70.17,-2.16,1686,1741,1785,1364,31.45,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.45,0.17
2984,1103,"61-23 21","N  275",122.72,-69.93,6,1735,1794,31.59,0.00,0.056,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.73,-2.84,126.37,-70.17,-2.16,1686,1741,1785,1364,31.45,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.45,0.17
3015,1104,"61-24 21",0049-01,123.01,-64.10,0.001,1390,1467,31.33,0.00,0.045,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.80,-3.70,123.16,-63.70,-3.38,1545,1623,1676,1213,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
3043,1104,"61-24 21",0049-00,123.29,-63.33,0.001,1687,1766,31.33,0.00,0.039,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.70,-3.66,123.16,-63.70,-3.38,1545,1623,1676,1213,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
3051,327,"17 -2  2","N  278",123.06,-15.32,3,641,822,30.31,0.00,0.144,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.75,-2.11,123.52,-15.00,-2.04,641,821,912,385,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
3085,223,"14-12 12",0051-73,302.79,-44.30,9,151,10,19.20,18.88,0.432,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.39,1.23,0.00,0.00,4.64,-8,0,-34,-32,20.96,0.11,0,0.00,0.00,0.0,0,0.00,0.00,15,20.96,0.11
3089,1098,"61-19 18","N  289",298.77,-85.90,4,1633,1612,31.19,0.00,0.020,0.001,0.64,1,0.001,0.001,0.001,10.26,1,0.001,0.001,1609,302,1,2,31.66,0.00,1.0,0.001,11.50,-2.38,297.94,-85.77,-2.22,1584,1562,1570,1323,31.66,0.41,1,31.66,0.41,1.0,0,0.00,0.00,0,0.00,0.00
3238,234,"14-13 13","N  300",299.22,-79.42,7,145,102,26.82,26.37,0.013,0.02,0.74,1,8.35,7.70,1,7.38,1,7.00,1,99,166,1,1,26.94,0.23,3.0,0.001,8.54,-1.22,323.61,-76.75,-0.66,144,107,104,-95,26.51,0.13,2,26.43,0.28,2.4,0,0.00,0.00,6,26.52,0.13
3526,1301,"60  0  0","N  336",134.99,-81.44,4,1987,2004,31.82,0.00,0.023,0.01,0.42,2,0.001,0.001,0.001,11.50,2,0.001,0.001,2018,288,1,3,32.00,0.00,1.0,0.001,13.07,-2.94,134.99,-81.44,-2.94,1987,2004,2031,1691,32.00,0.41,1,32.00,0.41,1.0,0,0.00,0.00,0,0.00,0.00
3528,1291,"60 -1  1","U  608",124.24,-14.83,8,2760,2939,32.84,0.00,0.158,0.001,0.33,1,0.001,0.001,0.001,13.95,1,0.001,0.001,2934,210,6,3,32.83,0.00,1.0,0.001,14.10,-3.14,126.09,-16.64,-2.00,2683,2856,2946,2429,32.26,0.25,3,32.26,0.25,3.1,0,0.00,0.00,0,0.00,0.00
3572,1103,"61-23 21","N  337",129.14,-70.35,7,1651,1703,31.59,0.00,0.112,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.65,-2.40,126.37,-70.17,-2.16,1686,1741,1785,1364,31.45,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.45,0.17
3589,223,"14-12 12",Sculpt,287.53,-83.16,-5,108,76,19.76,19.45,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.21,-2.30,0.00,0.00,4.64,-8,0,-34,-32,20.96,0.11,0,0.00,0.00,0.0,0,0.00,0.00,15,20.96,0.11
3603,1291,"60 -1  1",0057+474,124.49,-14.85,6,2716,2894,32.84,0.00,0.153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.40,-2.86,126.09,-16.64,-2.00,2683,2856,2946,2429,32.26,0.25,3,32.26,0.25,3.1,0,0.00,0.00,0,0.00,0.00
3635,1291,"60 -1  1","U  625",124.58,-15.16,4,2614,2792,32.84,0.00,0.148,0.78,0.34,2,0.001,0.001,0.001,11.43,2,10.02,1,2794,356,1,3,32.21,0.13,1.5,0.001,11.70,-2.18,126.09,-16.64,-2.00,2683,2856,2946,2429,32.26,0.25,3,32.26,0.25,3.1,0,0.00,0.00,0,0.00,0.00
3667,904,"52  0 12","U  634",127.26,-55.17,9,2211,2308,32.38,0.00,0.052,0.16,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.20,-3.30,127.26,-55.17,-3.30,2211,2308,2371,1882,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
3671,333,"17 -7  7",0059-07,130.38,-70.32,8,1084,1135,30.71,0.00,0.108,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.84,-2.14,131.01,-69.86,-1.98,1086,1138,1182,769,30.28,0.37,1,30.28,0.37,1.3,0,0.00,0.00,0,0.00,0.00
3743,1290,"50  0  0","N  360",301.04,-51.48,4,2302,2176,32.12,0.00,0.019,0.00,0.20,1,0.001,0.001,0.001,11.27,1,0.001,0.001,2174,393,3,3,32.34,0.00,1.0,31.91,12.75,-2.77,301.04,-51.48,-2.77,2302,2176,2131,2209,32.12,0.29,1,32.34,0.41,1.0,1,31.91,0.41,0,0.00,0.00
3768,920,"52  0  0","N  357",131.22,-69.01,0,2541,2595,32.55,0.00,0.122,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.69,-2.66,131.22,-69.01,-2.66,2541,2595,2640,2223,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
3792,222,"14-12 12",0101+21,126.75,-40.89,10,-281,-149,24.76,24.43,0.040,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.40,-3.97,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
3844,222,"14-12 12","U  668",129.73,-60.58,10,-238,-159,24.76,24.33,0.025,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.93,-1.78,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
3853,333,"17 -7  7",0102-06,132.40,-68.83,7,1092,1145,30.71,0.00,0.132,0.26,0.69,1,12.49,11.21,1,10.55,1,0.001,0.001,1147,189,4,2,30.28,0.12,2.5,0.001,11.70,-2.48,131.01,-69.86,-1.98,1086,1138,1182,769,30.28,0.37,1,30.28,0.37,1.3,0,0.00,0.00,0,0.00,0.00
3974,331,"17  6  6","U  685",128.43,-46.02,9,155,272,28.32,28.27,0.057,0.11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.02,-3.41,138.52,-26.54,-2.13,177,305,386,-74,28.45,0.13,1,28.11,0.36,1.3,0,0.00,0.00,5,28.47,0.13
3980,1034,"55  0  0","N  406",300.91,-47.18,5,1509,1372,31.04,0.00,0.023,0.05,0.38,1,0.001,0.001,0.001,11.58,1,0.001,0.001,1370,250,1,3,31.47,0.00,1.0,0.001,11.90,-2.55,300.91,-47.18,-2.55,1509,1372,1321,1441,31.47,0.41,1,31.47,0.41,1.0,0,0.00,0.00,0,0.00,0.00
4063,905,"52  0 12","U  711",131.83,-60.92,7,1979,2054,32.38,0.00,0.025,0.02,0.11,1,0.001,0.001,0.001,13.17,1,12.35,1,2055,223,3,3,32.13,0.02,1.5,0.001,13.30,-2.94,131.83,-60.92,-2.94,1979,2054,2109,1657,32.13,0.39,1,32.13,0.39,1.1,0,0.00,0.00,0,0.00,0.00
4126,224,"14 12 12","N  404",127.05,-27.01,-3,-35,122,26.33,27.45,0.059,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.85,-2.15,127.05,-27.01,-5.00,-34,122,208,-320,27.20,0.17,0,0.00,0.00,0.0,0,0.00,0.00,2,27.20,0.17
4202,327,"17 -2  2","U  731",126.13,-13.15,10,639,815,30.31,0.00,0.140,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.64,-2.86,123.52,-15.00,-2.04,641,821,912,385,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
4266,1098,"61-19 18","N 423",239.71,-85.13,0,1580,1556,31.19,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.89,-3.33,297.94,-85.77,-2.22,1584,1562,1570,1323,31.66,0.41,1,31.66,0.41,1.0,0,0.00,0.00,0,0.00,0.00
4367,334,"17  0  0","N  428",134.24,-61.42,9,1157,1227,30.71,0.00,0.029,0.03,0.77,2,12.05,11.15,1,10.70,2,0.001,0.001,1228,184,6,2,30.85,0.07,2.5,0.001,11.73,-2.49,134.24,-61.42,-2.49,1157,1227,1281,838,30.85,0.40,1,30.85,0.40,1.1,0,0.00,0.00,0,0.00,0.00
4524,921,"52  0  0","N  448",136.56,-63.87,-3,1899,1961,31.70,32.41,0.060,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.78,-3.25,136.41,-63.26,-2.55,1787,1850,1901,1473,32.32,0.15,1,31.36,0.41,1.0,0,0.00,0.00,1,32.41,0.16
4540,921,"52  0  0","N  450",136.37,-63.11,6,1759,1822,31.70,0.00,0.040,0.13,0.66,2,0.001,0.001,0.001,11.44,2,0.001,0.001,1825,204,4,3,31.36,0.00,1.0,0.001,12.29,-2.66,136.41,-63.26,-2.55,1787,1850,1901,1473,32.32,0.15,1,31.36,0.41,1.0,0,0.00,0.00,1,32.41,0.16
4601,222,"14-12 12","And II",128.92,-29.16,-5,-188,-39,24.76,24.07,0.060,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.24,-3.10,122.44,-22.55,0.82,-286,-113,-23,-570,24.37,0.11,2,24.61,0.27,2.6,0,0.00,0.00,19,24.36,0.11
4777,901,"52-12 12","N  470",136.65,-58.70,3,2374,2447,32.38,0.00,0.035,0.06,0.54,1,0.001,0.001,0.001,10.85,1,0.001,0.001,2448,389,1,3,32.79,0.00,1.0,0.001,12.37,-2.57,137.21,-57.67,-1.58,2304,2379,2436,1991,32.15,0.24,2,32.29,0.30,2.1,1,31.90,0.41,0,0.00,0.00
4785,922,"52  0  0","N  473",132.77,-45.78,0,2252,2362,32.38,0.00,0.089,0.12,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.66,132.77,-45.78,-2.66,2252,2362,2433,1941,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
4801,901,"52-12 12","N  474",136.79,-58.69,-2,2529,2602,32.38,0.00,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.94,-2.39,137.21,-57.67,-1.58,2304,2379,2436,1991,32.15,0.24,2,32.29,0.30,2.1,1,31.90,0.41,0,0.00,0.00
4827,901,"52-12 12","U  871",136.00,-56.29,10,2178,2258,32.38,0.00,0.050,0.16,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.26,-2.92,137.21,-57.67,-1.58,2304,2379,2436,1991,32.15,0.24,2,32.29,0.30,2.1,1,31.90,0.41,0,0.00,0.00
