"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
32087,1872,1128,32087,180.58,61.18,151,1.88,0.22,1.65,0.22,15.4,0.06,bc,0,II,5,0.001,10.751333333300000,38.983888888900000
32100,1875,835E,32100,268.42,31.63,93,1.28,0.17,1.28,0.19,15.8,0.26,dm,2,II,1,0.001,10.756000000000000,-22.661944444400000
32153,1876,1131,32153,247.75,50.75,159,5.04,0.67,4.82,0.67,13.4,0.19,cd,1,II,0,0.001,10.770000000000000,1.812777777780000
32162,1877,840E,32162,299.49,-21.83,136,1.27,0.12,1.16,0.19,16.4,0.94,c,0,III,0,0.001,10.771694444400000,-83.845277777800000
32204,1880,1132,32204,147.21,50.94,26,1.81,0.13,1.68,0.15,15.7,0.04,d,0,I,0,0.001,10.782527777800000,59.913888888900000
32261,1881,1135,32261,266.29,35.37,106,0.77,0.10,0.73,0.11,17.0,0.16,d,1,IV,0,0.001,10.798000000000000,-18.563888888900000
32322,1882,1134,32322,133.16,39.98,112,1.12,0.12,0.91,0.11,16.5,0.36,c,0,III,2,0.001,10.801861111100000,74.607222222200000
32456,1887,842E,32456,268.62,33.41,118,0.98,0.08,0.83,0.10,17.0,0.22,c,0,III,0,0.001,10.836000000000000,-21.256944444400000
32519,1888,1139,32519,185.83,62.95,161,1.32,0.13,1.23,0.13,15.9,0.06,d,2,I,1,0.001,10.850000000000000,36.193055555600000
32540,1890,1141,32540,231.95,59.10,136,1.96,0.24,1.90,0.26,15.2,0.14,bc,0,II,1,"Pair's component at 4.5 S",10.855527777800000,14.023333333300000
32546,1891,844E,32546,270.12,31.93,113,0.73,0.09,0.67,0.10,17.0,0.35,bc,0,II,1,0.001,10.856000000000000,-23.176944444400000
32548,1892,1142,32548,260.85,42.72,150,1.81,0.11,1.85,0.15,15.9,0.13,cd,0,II,0,0.001,10.856666666700000,-10.133888888900000
32550,1893,1143,32550,268.03,34.72,151,4.26,0.48,4.11,0.57,14.0,0.17,cd,1,II,1,0.001,10.856666666700000,-19.890000000000000
32565,1894,845E,32565,277.04,21.30,107,1.58,0.16,1.67,0.20,15.7,0.33,b,0,II,1,"Dust lane",10.859305555600000,-35.476111111100000
32644,1896,1147,32644,238.65,57.19,141,1.85,0.22,1.79,0.24,15.5,0.13,bc,1,III,5,0.001,10.876000000000000,10.018888888900000
32670,1898,1148,32670,238.48,57.39,16,1.53,0.17,1.46,0.18,15.8,0.11,bc,0,II,3,Two-layers,10.883333333300000,10.210000000000000
32676,1899,1149,32676,209.34,63.52,158,1.09,0.11,1.00,0.13,16.6,0.12,c,0,III,0,0.001,10.885333333300000,25.660000000000000
32709,1901,1150,32709,206.59,63.82,158,1.48,0.16,1.30,0.18,15.9,0.09,c,0,II,3,0.001,10.894000000000000,26.910000000000000
32738,1903,1152,32738,168.45,60.77,78,1.69,0.17,1.46,0.17,15.7,0.05,c,0,II,0,Two-layers,10.903194444400000,44.624444444400000
32743,1904,1154,32743,219.19,62.67,54,1.33,0.15,1.36,0.21,16.1,0.07,bc,0,III,1,"LSB compan.at 4.0 NE",10.904055555600000,21.132777777800000
32763,1906,1155,32763,226.73,61.31,116,2.80,0.36,2.69,0.45,14.4,0.14,d,1,I,3,"Interact.w.gal.at 3.5S",10.908000000000000,17.343888888900000
32845,1912,1160,32845,240.01,57.72,165,0.78,0.11,0.87,0.12,16.7,0.11,cd,0,III,3,"Member of 4 galaxies chain ?",10.934472222200000,9.739444444440000
32869,1913,849E,32869,276.15,24.87,162,1.90,0.24,2.03,0.33,15.0,0.46,cd,0,I,0,0.001,10.937305555600000,-31.938055555600000
32891,1916,1162,32891,221.10,62.94,45,1.09,0.12,0.90,0.12,16.4,0.10,c,1,II,3,0.001,10.942805555600000,20.398611111100000
32933,1920,1166,32933,269.61,35.26,60,0.84,0.11,0.74,0.11,16.8,0.18,c,0,III,1,0.001,10.955055555600000,-20.119444444400000
32985,1924,1171,32985,257.98,47.97,28,1.55,0.13,1.33,0.16,16.0,0.13,c,0,II,1,0.001,10.968000000000000,-4.760000000000000
32992,1925,1170,32992,222.00,63.20,12,1.29,0.11,1.14,0.11,16.3,0.11,d,1,II,0,"Diff.obj.0.5 at0.8E.Star proj.",10.970194444400000,20.106388888900000
33003,1926,1172,33003,247.53,54.99,69,0.90,0.11,0.95,0.12,16.3,0.17,cd,0,I,0,0.001,10.971333333300000,4.792500000000000
33041,1928,1174,33041,211.03,64.68,65,1.51,0.17,1.37,0.21,15.6,0.08,c,0,I,0,0.001,10.979333333300000,25.141111111100000
33094,1930,851E,33094,281.12,17.18,95,0.71,0.08,0.88,0.10,17.0,0.50,c,0,III,2,"Slightly curved. Dust? Knot",10.990000000000000,-40.901944444400000
33108,1932,1177,33108,267.14,39.45,83,2.17,0.22,2.15,0.22,15.3,0.30,cd,0,III,1,0.001,10.994000000000000,-15.526944444400000
33163,1933,1179,33163,229.28,62.29,141,1.57,0.18,1.64,0.19,15.5,0.08,c,0,I,1,0.001,11.006666666700000,16.692222222200000
33171,1934,1180,33171,186.20,64.96,52,0.95,0.13,0.97,0.15,16.3,0.10,bc,0,II,0,0.001,11.009861111100000,35.631111111100000
33188,1936,1178,33188,143.73,51.10,126,2.18,0.16,2.18,0.17,15.4,0.03,d,1,II,1,0.001,11.011333333300000,61.321111111100000
33216,1937,852E,33216,282.65,14.80,132,1.72,0.20,1.55,0.21,15.5,0.93,dm,1,II,1,0.001,11.017111111100000,-43.678333333300000
33269,1940,1184,33269,162.69,60.70,63,1.88,0.15,1.60,0.18,15.8,0.07,c,0,II,0,"Star projected near nucleus",11.032527777800000,47.094444444400000
33343,1945,1187,33343,227.27,63.37,27,4.76,0.54,4.65,0.65,13.6,0.09,cd,0,I,1,"Dust lane",11.046472222200000,17.989444444400000
33377,1946,855E,33377,279.30,22.42,132,1.05,0.13,0.97,0.11,16.3,0.34,cd,0,II,0,0.001,11.053305555600000,-35.438055555600000
33401,1950,1191,33401,269.50,38.29,153,1.68,0.22,1.72,0.24,15.4,0.27,bc,0,II,0,0.001,11.060000000000000,-17.478888888900000
33419,1952,857E,33419,285.89,9.06,162,1.27,0.10,1.18,0.10,16.5,1.27,d,0,III,2,"V.good flat gal. Stars proj.",11.064000000000000,-50.218611111100000
33474,1955,859E,33474,280.63,20.56,88,0.99,0.10,0.98,0.13,16.5,0.56,cd,0,II,0,0.001,11.079305555600000,-37.651944444400000
33483,1956,860E,33483,286.23,8.69,21,1.27,0.17,1.14,0.18,16.0,1.28,cd,0,III,1,Diffuse,11.081305555600000,-50.691944444400000
33493,1957,864E,33493,299.70,-21.06,81,0.89,0.07,0.93,0.09,17.1,1.18,c,0,III,0,"In region of strong absorption",11.084888888900000,-83.250277777800000
33539,1959,861E,33539,277.89,26.22,156,1.06,0.07,1.03,0.09,16.9,0.29,d,0,III,0,Knotty,11.095000000000000,-31.460555555600000
33563,1960,862E,33563,281.42,19.51,25,0.89,0.08,0.87,0.11,16.8,0.49,cd,0,II,0,0.001,11.098694444400000,-38.911944444400000
33590,1962,863E,33590,280.52,21.56,131,1.43,0.17,1.45,0.21,15.7,0.51,d,1,II,1,0.001,11.107305555600000,-36.696944444400000
33878,1970,869E,33878,285.54,12.40,89,0.74,0.09,0.79,0.12,16.7,0.56,cd,0,I,4,"Star proj.near nucl.",11.166888888900000,-47.019722222200000
33885,1971,870E,33885,285.01,13.68,124,1.14,0.13,1.06,0.12,16.3,0.90,b,0,II,1,0.001,11.169305555600000,-45.640555555600000
33906,1972,871E,33906,286.06,11.37,9,0.90,0.12,0.87,0.11,16.4,0.60,cd,1,II,1,Curved,11.173500000000000,-48.166388888900000
33947,1974,1201,33947,204.12,67.75,25,0.90,0.12,0.76,0.12,16.7,0.10,bc,1,III,7,"Curved. Br.pec.gal.at 1.5NW",11.181138888900000,28.270833333300000
33986,1976,1203,33986,256.52,54.20,156,1.12,0.10,1.09,0.11,16.4,0.18,d,0,II,0,0.001,11.186138888900000,0.625277777778000
34106,1983,873E,34106,275.37,34.07,161,0.99,0.13,1.02,0.19,16.2,0.28,dm,1,II,0,0.001,11.210694444400000,-23.461944444400000
34121,1984,1209,34121,217.31,67.40,44,1.51,0.17,1.59,0.17,15.7,0.06,cd,1,II,4,0.001,11.214055555600000,23.256388888900000
34147,1986,875E,34147,294.38,-8.04,170,3.53,0.44,3.09,0.54,14.2,0.94,dm,1,II,0,0.001,11.219111111100000,-69.267777777800000
34162,1987,879E,34162,301.24,-23.73,49,0.95,0.10,0.95,0.12,16.7,0.81,bc,0,III,1,0.001,11.223694444400000,-86.271111111100000
34167,1988,1210,34167,248.72,59.55,53,0.73,0.09,0.73,0.10,16.7,0.16,cd,1,I,0,0.001,11.224388888900000,7.431388888890000
34203,1990,1211,34203,138.23,48.95,87,1.46,0.18,1.37,0.20,15.8,0.05,bc,0,II,1,0.001,11.232666666700000,65.178055555600000
34247,1993,1215,34247,219.51,67.55,125,1.34,0.13,1.31,0.12,16.0,0.07,d,0,II,0,0.001,11.241472222200000,22.490000000000000
34345,1999,877E,34345,284.99,16.33,41,1.02,0.14,1.05,0.19,16.2,0.42,b,0,II,0,Two-layers,11.262888888900000,-43.187222222200000
34358,2000,878E,34358,284.43,17.73,76,1.14,0.09,1.06,0.10,16.5,0.48,cd,0,II,0,"Slightly curved",11.265305555600000,-41.688888888900000
34361,2001,1220,34361,253.34,58.03,58,0.85,0.10,0.78,0.18,16.9,0.22,bc,1,III,1,0.001,11.266666666700000,4.665277777780000
34428,2003,1221,34428,273.31,39.49,79,0.90,0.12,1.00,0.12,16.4,0.17,c,0,II,0,0.001,11.282000000000000,-17.886944444400000
34514,2004,881E,34514,283.81,20.14,28,0.90,0.08,0.97,0.09,16.8,0.54,c,0,II,2,"Thin faint ends",11.297694444400000,-39.229166666700000
34713,2015,1231,34713,252.84,59.95,94,1.01,0.11,0.95,0.15,16.5,0.29,dm,2,III,0,Comet-like,11.342000000000000,6.247222222220000
34735,2017,1232,34735,190.45,69.53,17,0.90,0.11,1.02,0.12,16.3,0.12,cd,1,I,0,0.001,11.344666666700000,33.108888888900000
34861,2021,1235,34861,183.09,69.14,131,1.12,0.08,0.99,0.09,17.0,0.09,cd,0,IV,0,0.001,11.366611111100000,35.716944444400000
34869,2022,1233,34869,133.81,45.56,140,2.65,0.35,2.46,0.35,14.5,0.05,d,0,I,1,0.001,11.369333333300000,69.633888888900000
34870,2020,1234,34870,185.17,69.36,143,1.46,0.10,1.34,0.11,16.2,0.09,d,0,II,0,0.001,11.366000000000000,34.948888888900000
35017,2026,1239,35017,215.32,70.22,49,1.74,0.15,1.65,0.16,15.7,0.07,c,1,II,1,0.001,11.401388888900000,24.615277777800000
35037,2030,1243,35037,258.24,58.26,142,1.12,0.09,1.02,0.11,16.7,0.18,cd,0,III,4,0.001,11.407333333300000,3.145000000000000
35174,2035,1247,35174,252.69,62.09,176,1.52,0.10,1.55,0.11,16.1,0.21,d,0,II,0,0.001,11.437194444400000,7.841666666670000
35221,2036,1249,35221,253.27,62.13,27,0.78,0.09,0.76,0.11,16.8,0.30,cd,1,II,1,0.001,11.452388888900000,7.687500000000000
35235,2037,1250,35235,174.33,68.99,35,1.88,0.17,1.70,0.17,15.6,0.08,d,0,II,2,0.001,11.455333333300000,38.664444444400000
35242,2039,889E,35242,284.09,24.71,32,0.99,0.09,0.97,0.11,16.6,0.30,c,0,II,0,0.001,11.456694444400000,-35.072500000000000
35320,2042,1253,35320,251.66,63.38,160,2.11,0.21,2.02,0.22,15.3,0.15,c,0,II,5,"Bright compan. at 2.0 E",11.475333333300000,9.104722222220000
35362,2044,1254,35362,236.13,68.56,66,2.35,0.22,1.96,0.27,15.2,0.11,c,1,II,2,"Dust spots",11.484000000000000,17.231944444400000
35437,2050,1260,35437,173.72,69.50,86,2.13,0.20,2.05,0.21,15.3,0.10,d,0,II,1,0.001,11.502527777800000,38.620277777800000
35453,2051,892E,35453,286.86,19.26,66,1.68,0.16,1.45,0.13,15.8,0.70,b,0,II,0,"Curved f.ends.In pair?",11.505305555600000,-41.066944444400000
35510,2058,1264,35510,128.48,39.00,41,1.18,0.11,0.97,0.11,16.7,0.17,c,0,IV,1,"Compact ell. gal. at 3.0 SW",11.528944444400000,77.258055555600000
35521,2057,1265,35521,221.00,71.46,79,2.37,0.12,1.97,0.17,15.7,0.07,d,0,II,0,0.001,11.522944444400000,23.115555555600000
35577,2060,894E,35577,287.33,19.03,29,1.63,0.20,1.64,0.21,15.5,0.47,bc,0,II,0,"Dust lane",11.535500000000000,-41.428333333300000
35579,2061,1267,35579,263.36,57.85,92,1.32,0.13,1.29,0.15,15.9,0.11,d,0,I,0,0.001,11.536000000000000,1.207500000000000
35631,2062,1268,35631,147.13,60.33,173,1.23,0.12,1.01,0.16,16.3,0.06,bc,0,II,3,"Nest of interact.gals.at 1.5NW",11.546000000000000,52.941111111100000
35663,2063,895E,35663,290.50,10.20,139,1.37,0.17,1.06,0.18,16.1,0.70,bc,0,III,5,"Stars projected",11.552777777800000,-50.769166666700000
35671,2064,1269,35671,150.45,62.44,66,1.31,0.17,1.36,0.19,15.8,0.05,c,0,II,1,0.001,11.554000000000000,50.303055555600000
35701,2068,1271,35701,237.37,69.59,7,1.20,0.16,1.16,0.16,16.0,0.08,cd,0,II,1,0.001,11.562138888900000,17.396111111100000
35704,2067,1272,35704,276.89,43.13,134,1.46,0.12,1.53,0.12,16.0,0.14,d,0,II,0,0.001,11.560666666700000,-15.771944444400000
35725,2070,1274,35725,177.82,71.07,112,1.51,0.16,1.68,0.16,15.8,0.09,cd,0,III,0,0.001,11.568666666700000,36.683055555600000
35738,2071,897E,35738,289.51,13.84,70,0.76,0.10,0.79,0.12,16.7,0.57,bc,0,II,0,0.001,11.570805555600000,-47.009444444400000
35742,2072,1275,35742,271.02,51.64,16,1.94,0.24,1.88,0.24,15.1,0.13,cd,0,I,0,0.001,11.572277777800000,-6.389722222220000
35792,2073,1276,35792,240.85,69.13,90,1.75,0.21,1.46,0.21,15.6,0.18,cd,1,III,1,"UGC 6559 is neighbour",11.582000000000000,16.116111111100000
35803,2077,1279,35803,241.30,69.08,176,1.79,0.11,1.79,0.12,16.1,0.21,cd,0,III,1,"Curved edges.Two-layers",11.586000000000000,15.958888888900000
35829,2080,1281,35829,161.15,67.60,150,1.08,0.15,1.08,0.15,16.1,0.11,c,0,II,0,0.001,11.593527777800000,43.476666666700000
35927,2081,1283,35927,276.27,45.99,95,1.46,0.15,1.39,0.17,15.9,0.17,cd,0,II,0,Two-layers,11.613333333300000,-12.980000000000000
35951,2082,899E,35951,290.41,12.59,19,1.04,0.14,0.86,0.13,16.3,0.66,bc,0,II,1,0.001,11.616833333300000,-48.460555555600000
35991,2083,1285,35991,240.89,69.91,134,3.19,0.39,2.91,0.43,14.4,0.12,cd,2,II,0,"Diffuse.Knotty.DwSph at 2.0SW",11.627333333300000,16.555000000000000
36020,2084,900E,36020,290.79,11.88,25,0.92,0.10,0.95,0.10,16.6,0.80,c,0,II,2,"Curved. Interacted?",11.632277777800000,-49.252500000000000
36026,2085,1286,36026,278.97,42.20,7,2.41,0.24,2.41,0.26,15.0,0.17,cd,0,II,0,"V.f.curved extentions of arms",11.633194444400000,-17.233611111100000
36210,2089,902E,36210,290.83,13.18,154,0.80,0.09,0.78,0.10,16.8,0.61,c,0,II,0,"In cluster",11.673194444400000,-48.016944444400000
36334,2092,1290,36334,197.29,74.53,100,1.74,0.24,1.68,0.25,15.5,0.09,c,0,III,0,0.001,11.704666666700000,30.230000000000000
36343,2093,1291,36343,146.26,62.29,86,3.70,0.45,3.51,0.45,14.1,0.06,cd,0,II,0,0.001,11.707611111100000,51.597500000000000
36372,2096,1293,36372,211.22,74.70,141,1.48,0.19,1.25,0.20,15.9,0.09,bc,0,III,4,0.001,11.714472222200000,26.540555555600000
36381,2097,1295,36381,164.36,70.35,108,1.49,0.18,1.32,0.18,15.6,0.07,d,0,I,0,0.001,11.717472222200000,40.827500000000000
36409,2098,1296,36409,278.23,46.81,40,1.32,0.17,1.32,0.17,15.9,0.15,d,0,III,3,0.001,11.720333333300000,-12.764722222200000
36428,2101,1299,36428,255.23,67.13,48,0.90,0.12,0.86,0.12,16.5,0.16,bc,1,II,1,0.001,11.723000000000000,10.801666666700000
36431,2100,1298,36431,243.47,70.98,51,3.07,0.34,2.97,0.36,14.7,0.11,bc,0,III,1,"Dust lane. Eroded S edge?",11.722666666700000,16.485000000000000
36536,2103,1300,36536,255.78,67.30,160,1.57,0.22,1.61,0.28,15.5,0.19,b,0,II,2,"In group.Compan.at 2.0 E.",11.741277777800000,10.783888888900000
36605,2106,1302,36605,261.14,64.83,176,1.12,0.11,1.03,0.12,16.3,0.09,dm,1,II,2,0.001,11.750000000000000,7.498055555560000
36692,2108,908E,36692,285.75,32.72,98,0.95,0.07,0.95,0.08,16.9,0.36,cd,0,II,0,0.001,11.768000000000000,-27.960000000000000
36707,2111,1305,36707,273.00,55.86,13,1.46,0.12,1.32,0.12,16.1,0.12,d,0,II,0,0.001,11.771333333300000,-3.178333333330000
36713,2112,1306,36713,250.93,69.82,69,1.47,0.15,1.32,0.16,16.0,0.22,dm,2,III,2,Bluish.Knotty.Interacting,11.773333333300000,13.826944444400000
36836,2115,1309,36836,141.06,59.85,161,2.37,0.32,1.96,0.39,15.1,0.04,c,1,III,0,"Sharp nucl.Compan.at 2.0 N",11.803388888900000,54.991388888900000
36868,2116,1310,36868,156.23,69.12,31,1.87,0.20,1.76,0.22,15.4,0.08,cd,1,II,4,0.001,11.810000000000000,43.721111111100000
36932,2120,1312,36932,211.00,76.18,1,2.43,0.31,2.30,0.30,14.8,0.09,cd,1,II,2,0.001,11.823277777800000,26.740833333300000
36960,2122,912E,0.001,293.40,9.60,49,0.89,0.09,1.02,0.17,16.8,0.75,c,0,III,0,"Stars projected",11.829611111100000,-52.122500000000000
36968,2123,1313,36968,201.56,76.32,22,1.11,0.10,1.09,0.11,16.4,0.09,cd,0,II,0,0.001,11.832277777800000,28.982500000000000
36973,2126,1315,36973,143.80,62.72,159,2.49,0.24,2.43,0.26,15.0,0.09,d,0,II,2,"Br.sp. at 6.0 E",11.835333333300000,51.855277777800000
36980,2125,914E,36980,292.24,14.42,40,1.20,0.16,1.24,0.18,15.9,0.45,cd,0,II,0,"Faint ends",11.835194444400000,-47.172222222200000
36988,2127,1317,36988,264.32,65.17,104,1.76,0.15,1.68,0.17,15.7,0.05,d,0,II,1,0.001,11.836805555600000,6.998611111110000
37004,2129,1318,37004,177.26,74.63,140,1.81,0.16,1.65,0.16,15.8,0.08,c,0,III,0,0.001,11.838388888900000,35.254166666700000
37054,2130,1319,37054,232.95,75.00,96,1.34,0.15,1.23,0.17,16.0,0.14,c,1,II,5,0.001,11.849333333300000,21.196944444400000
37088,2131,1320,37088,186.65,75.91,153,1.40,0.17,1.34,0.17,15.8,0.09,c,1,II,0,0.001,11.856861111100000,32.561388888900000
37143,2132,1321,37143,241.88,73.84,152,1.03,0.10,0.95,0.11,16.5,0.13,d,1,II,1,0.001,11.864666666700000,18.546111111100000
37243,2133,915E,37243,290.06,24.77,69,2.44,0.31,2.51,0.44,14.6,0.34,c,0,I,0,"Dust lane. Knots",11.884000000000000,-36.638888888900000
37259,2134,1322,37259,258.72,69.34,102,1.37,0.15,1.32,0.17,16.0,0.11,dm,1,III,0,0.001,11.887611111100000,11.634166666700000
37276,2135,1323,37276,260.20,68.80,108,1.34,0.15,1.25,0.17,16.0,0.10,bc,2,II,0,0.001,11.892666666700000,10.877500000000000
37311,2138,1325,37311,235.76,75.41,166,1.20,0.12,0.97,0.18,16.4,0.19,bc,2,II,5,0.001,11.898666666700000,20.750000000000000
37334,2140,917E,37334,291.14,21.69,143,2.58,0.35,2.71,0.44,14.4,0.47,cd,0,I,1,Many-layers,11.902000000000000,-39.865000000000000
37395,2143,918E,37395,292.69,16.28,44,0.82,0.10,0.78,0.13,16.7,0.50,d,0,II,3,"Star projected",11.918500000000000,-45.467500000000000
37403,2146,1331,37403,131.07,48.83,130,1.23,0.10,1.12,0.11,16.4,0.05,c,1,II,0,0.001,11.922000000000000,67.402500000000000
37415,2145,1330,37415,278.85,53.77,52,2.13,0.13,2.02,0.15,15.8,0.15,d,1,III,0,0.001,11.920666666700000,-6.454444444440000
37428,2147,1332,37428,219.82,77.30,46,0.94,0.10,0.92,0.12,16.4,0.07,dm,1,I,2,0.001,11.928666666700000,24.920000000000000
37467,2148,1333,37467,196.70,77.47,40,1.36,0.13,1.28,0.15,16.1,0.07,c,0,II,1,"Br.el.compan.at 4.0 NW",11.930000000000000,29.941111111100000
37614,2153,1339,37614,276.21,58.79,141,1.85,0.24,1.51,0.24,15.4,0.11,bc,2,II,0,0.001,11.958861111100000,-1.253055555560000
37622,2154,1338,37622,286.68,39.49,149,0.81,0.11,0.87,0.13,16.6,0.22,b,0,II,0,0.001,11.961277777800000,-21.679444444400000
37630,2155,1340,37630,232.75,76.79,145,0.75,0.10,0.71,0.11,16.8,0.12,cd,1,II,0,Condensations,11.963138888900000,22.020277777800000
37641,2156,1341,37641,232.15,76.89,95,1.12,0.11,1.12,0.12,16.3,0.11,cd,1,II,4,0.001,11.965805555600000,22.190555555600000
37663,2157,1342,37663,286.88,39.40,18,1.34,0.18,1.39,0.20,15.8,0.23,b,0,II,1,0.001,11.970000000000000,-21.808055555600000
37906,2162,919E,37906,288.59,36.90,131,2.42,0.31,2.18,0.33,14.6,0.28,m,1,I,1,"""Stick""",12.018694444400000,-24.566944444400000
37910,2163,920E,37910,286.81,42.21,174,0.86,0.09,0.97,0.13,16.6,0.17,cd,1,II,0,"Knots. Curved",12.019305555600000,-19.080000000000000
37912,2164,1347,37912,258.43,72.47,145,2.91,0.34,2.26,0.31,14.7,0.14,bc,2,II,0,"Two-layers.Compact gal.at 6.0S",12.019333333300000,14.103888888900000
37992,2167,1350,37992,224.27,78.53,35,0.96,0.10,0.99,0.11,16.8,0.09,cd,0,IV,3,"Compact neighbour at 1.0 NE",12.033333333300000,24.335277777800000
38008,2169,1352,38008,280.45,56.41,60,1.48,0.19,1.40,0.20,15.6,0.13,cd,0,II,0,0.001,12.040666666700000,-4.306111111110000
38081,2171,1354,38081,197.91,79.17,55,1.79,0.22,1.70,0.22,15.4,0.10,c,1,II,1,0.001,12.055944444400000,29.419722222200000
38125,2173,1355,38125,196.26,79.22,156,1.81,0.15,1.70,0.16,15.7,0.07,d,0,II,0,0.001,12.063805555600000,29.715833333300000
38163,2174,1356,38163,243.12,77.15,42,1.31,0.12,1.12,0.16,16.2,0.14,c,2,II,9,0.001,12.069333333300000,20.184444444400000
38204,2175,922E,38204,295.98,8.30,52,1.27,0.10,0.97,0.11,16.6,0.84,d,0,III,2,"Slightly curved. In cluster",12.074694444400000,-53.936111111100000
38228,2177,923E,0.001,295.75,9.74,102,0.85,0.12,0.82,0.11,16.5,0.63,bc,0,II,3,0.001,12.078805555600000,-52.480277777800000
38347,2182,1363,38347,126.10,39.34,70,2.69,0.38,2.69,0.44,14.6,0.33,b,0,II,1,0.001,12.098666666700000,77.505277777800000
38393,2188,1366,38393,125.10,36.02,81,1.74,0.21,1.57,0.22,15.5,0.43,bc,0,II,0,"Sharp nucleus",12.111138888900000,80.920000000000000
38469,2191,1369,38469,243.56,77.98,12,1.30,0.16,1.09,0.20,16.0,0.13,b,2,II,4,0.001,12.121805555600000,20.584166666700000
38530,2193,926E,38530,295.55,13.90,153,0.83,0.09,0.89,0.11,16.7,0.51,cd,0,II,0,0.001,12.136388888900000,-48.353611111100000
38536,2194,927E,38536,292.37,29.97,159,1.90,0.24,2.03,0.33,15.2,0.30,b,0,II,1,"In pair. 2nd compan.at 6.5W",12.137694444400000,-32.010000000000000
38559,2195,1371,38559,278.94,62.76,124,0.86,0.07,0.90,0.08,17.2,0.10,d,0,IV,1,0.001,12.142000000000000,1.909166666670000
38567,2197,1372,38567,163.34,76.76,83,5.21,0.67,4.76,0.67,13.5,0.10,dm,1,III,1,0.001,12.145000000000000,36.803055555600000
38570,2198,929E,38570,290.58,37.80,125,1.12,0.15,0.97,0.09,16.2,0.35,c,1,II,1,"Curved. Tail in N part",12.146000000000000,-24.043888888900000
38628,2203,933E,38628,291.92,33.17,139,1.72,0.20,1.55,0.21,15.5,0.24,cd,1,II,0,"Knotty. Faint ends",12.156694444400000,-28.801111111100000
38649,2204,1374,38649,129.56,50.41,63,0.90,0.09,0.90,0.09,16.7,0.09,cd,0,II,0,0.001,12.158000000000000,66.176111111100000
38670,2206,1376,38670,125.76,39.16,162,1.39,0.12,1.33,0.12,16.1,0.31,cd,1,II,1,0.001,12.164666666700000,77.743055555600000
38680,2205,1375,38680,131.20,54.19,166,2.32,0.25,2.13,0.24,15.1,0.08,cd,0,II,0,0.001,12.162611111100000,62.268333333300000
38748,2210,1379,38748,252.27,77.47,12,3.25,0.28,3.02,0.30,14.7,0.12,cd,0,II,2,S-shaped,12.176666666700000,18.828888888900000
38768,2211,935E,38768,296.73,9.53,121,1.36,0.10,1.26,0.12,16.4,0.65,d,0,III,0,"Star projected",12.180111111100000,-52.856388888900000
38795,2212,1380,38795,138.47,65.41,65,7.95,1.06,8.18,1.12,12.2,0.09,bc,1,II,2,0.001,12.184666666700000,50.485277777800000
38841,2214,936E,38841,294.46,23.67,72,1.72,0.23,1.64,0.25,15.4,0.36,b,0,II,0,0.001,12.195305555600000,-38.548888888900000
38897,2216,1382,38897,197.08,81.14,135,5.04,0.69,4.93,0.76,13.3,0.09,dm,2,II,3,"In quartette",12.205805555600000,29.207777777800000
38933,2218,1383,38933,168.24,78.77,42,1.39,0.10,1.31,0.11,16.4,0.05,d,1,III,1,"Interact.w.gal.at 0.8 N",12.211333333300000,34.690000000000000
38972,2221,939E,38972,296.22,15.09,102,0.90,0.10,0.97,0.11,16.6,0.41,c,1,II,2,"Curved.Knots.In gr. or clust.",12.218694444400000,-47.280000000000000
38988,2222,1386,38988,145.39,71.73,165,6.27,0.67,5.21,0.72,13.3,0.06,c,1,II,2,Two-layers,12.221527777800000,43.697777777800000
38994,2223,940E,38994,295.44,20.08,13,0.93,0.10,0.89,0.12,16.6,0.74,d,0,II,1,0.001,12.222694444400000,-42.241111111100000
39036,2224,1388,39036,126.31,42.38,47,1.53,0.17,1.38,0.15,15.7,0.15,cd,1,II,0,0.001,12.232666666700000,74.501944444400000
39114,2227,1390,39114,278.96,66.95,36,4.26,0.60,3.70,0.63,13.8,0.08,c,2,II,0,"Two-layers.Bar.Splitted N-edge",12.244000000000000,5.806666666670000
39180,2229,942E,0.001,294.56,27.49,93,0.83,0.09,0.93,0.12,16.7,0.26,cd,0,II,1,0.001,12.254000000000000,-34.791111111100000
39203,2232,1392,39203,135.75,64.31,61,1.20,0.13,1.11,0.12,16.2,0.08,c,0,II,0,0.001,12.259333333300000,51.913055555600000
